crn	r0	r1	r2
0	1201	0111	0100
1	0111	0102	0100
10	2201	0111	0100
11	2200	0111	0100
12	1200	0111	0100
13	2212	0111	0100
14	2211	0111	0100
15	0211	0111	0100
16	0212	0111	0100
17	2202	0111	0100
18	1211	0122	0100
19	0111	0102	0200
2	0111	0200	0100
20	1211	0112	0100
21	1200	0112	0111
22	2200	0122	0111
23	1211	1200	0112
24	0211	0102	0200
25	0211	0102	0100
26	2211	0122	0100
27	2211	0122	0200
28	1211	2200	0122
29	0122	0111	0200
3	0111	0201	0100
30	2211	2200	0122
31	2211	0112	0100
32	0211	0112	0100
33	2200	0111	0102
34	1200	0111	0102
35	2211	1200	0112
36	1211	0122	0200
37	1200	0211	0112
38	1200	0211	0102
39	2200	0211	0102
4	0112	0111	0100
5	0122	0111	0100
6	1222	0111	0100
7	0222	0111	0100
8	1211	0111	0100
9	1202	0111	0100
