crn	r0	r1	r2
0	1202	1201	0111	0100
1	0111	0203	0301	0100
10	0111	0302	0203	0100
100	2311	1213	0111	0100
1000	1323	0111	0302	0100
1001	3323	0111	0301	0100
1002	3323	0111	0300	0100
1003	1323	0111	0301	0100
1004	1323	0111	0300	0100
1005	0133	0111	0302	0100
1006	0323	0111	0302	0100
1007	0133	0111	0102	0100
1008	0333	0111	0102	0100
1009	0133	0122	0111	0100
101	2312	1213	0111	0100
1010	0323	0122	0111	0100
1011	0333	0122	0111	0100
1012	0323	0111	0301	0100
1013	0323	0111	0300	0100
1014	0323	0111	0102	0100
1015	0122	0111	0203	0100
1016	0323	0111	0203	0100
1017	1322	0111	0203	0100
1018	1323	0111	0203	0100
1019	3323	0111	0203	0100
102	0212	0113	0111	0100
1020	3323	0111	0201	0100
1021	3323	0111	0200	0100
1022	1322	0111	0201	0100
1023	1323	0111	0201	0100
1024	1322	0111	0200	0100
1025	1323	0111	0200	0100
1026	0333	0111	0201	0100
1027	0323	0111	0201	0100
1028	0122	0111	0201	0100
1029	0122	0111	0200	0100
103	2312	0213	0111	0100
1030	0323	0111	0200	0100
1031	0233	0111	0302	0100
1032	1233	0111	0302	0100
1033	2322	0111	0302	0100
1034	1233	0111	0102	0100
1035	2322	0111	0102	0100
1036	1222	0111	0201	0100
1037	1222	0111	0200	0100
1038	1233	0111	0301	0100
1039	1222	0211	0111	0100
104	2302	0213	0111	0100
1040	1233	0211	0111	0100
1041	0222	0111	0102	0100
1042	0233	0111	0102	0100
1043	1222	0111	0203	0100
1044	1233	0111	0203	0100
1045	1233	0111	0103	0100
1046	2333	0111	0103	0100
1047	2333	0122	0111	0100
1048	2333	0112	0111	0100
1049	2322	0122	0111	0100
105	2302	0113	0111	0100
1050	2322	0112	0111	0100
1051	1233	0122	0111	0100
1052	1233	0112	0111	0100
1053	1222	0222	0111	0100
1054	1222	0212	0111	0100
1055	1233	0222	0111	0100
1056	1233	0212	0111	0100
1057	0323	0123	0111	0100
1058	0322	0223	0111	0100
1059	0322	0233	0111	0100
106	2312	2213	0111	0100
1060	0322	0123	0111	0100
1061	3322	0223	0111	0100
1062	3322	0123	0111	0100
1063	3322	0233	0111	0100
1064	3322	0213	0111	0100
1065	0333	0133	0111	0100
1066	0323	0133	0111	0100
1067	3323	0133	0111	0100
1068	0323	0233	0111	0100
1069	3323	0233	0111	0100
107	2302	1200	0111	0100
1070	3323	0123	0111	0100
1071	3323	0223	0111	0100
1072	3323	0113	0111	0100
1073	3323	0213	0111	0100
1074	1333	0113	0111	0100
1075	1323	0113	0111	0100
1076	1322	0113	0111	0100
1077	1322	0213	0111	0100
1078	1333	0213	0111	0100
1079	1323	0213	0111	0100
108	2302	2200	0111	0100
1080	1333	0233	0111	0100
1081	1323	0233	0111	0100
1082	1322	0233	0111	0100
1083	1333	0133	0111	0100
1084	1323	0133	0111	0100
1085	1322	0133	0111	0100
1086	1333	0123	0111	0100
1087	1323	0123	0111	0100
1088	1322	0123	0111	0100
1089	1333	0223	0111	0100
109	2302	2201	0111	0100
1090	1323	0223	0111	0100
1091	1322	0223	0111	0100
1092	1233	0113	0111	0100
1093	1222	0113	0111	0100
1094	1233	0213	0111	0100
1095	1223	0213	0111	0100
1096	1222	0213	0111	0100
1097	2333	0123	0111	0100
1098	2322	0123	0111	0100
1099	2322	0223	0111	0100
11	0112	0111	0203	0100
110	2312	2201	0111	0100
1100	1233	0223	0111	0100
1101	1223	0223	0111	0100
1102	1222	0223	0111	0100
1103	1233	0123	0111	0100
1104	1222	0123	0111	0100
1105	2333	0133	0111	0100
1106	1233	0133	0111	0100
1107	1222	0133	0111	0100
1108	1223	0233	0111	0100
1109	1222	0233	0111	0100
111	2302	2203	0111	0100
1110	2322	0233	0111	0100
1111	2333	0233	0111	0100
1112	1233	0233	0111	0100
1113	1333	1213	0111	0100
1114	3322	1213	0111	0100
1115	2322	1211	0111	0100
1116	1223	1213	0111	0100
1117	1222	1211	0111	0100
1118	1222	1213	0111	0100
1119	1233	1211	0111	0100
112	2312	2200	0111	0100
1120	1233	1213	0111	0100
1121	2333	2211	0111	0100
1122	2333	2233	0111	0100
1123	2322	2233	0111	0100
1124	2322	2211	0111	0100
1125	2333	1211	0111	0100
1126	2333	1233	0111	0100
1127	2322	1233	0111	0100
1128	1323	1213	0111	0100
1129	1322	1213	0111	0100
113	2312	2203	0111	0100
1130	1323	1233	0111	0100
1131	1322	1233	0111	0100
1132	3322	1233	0111	0100
1133	3322	2213	0111	0100
1134	3322	2233	0111	0100
1135	1333	1233	0111	0100
1136	2333	2212	0111	0100
1137	1233	1222	0111	0100
1138	2333	1222	0111	0100
1139	2322	1223	0111	0100
114	2312	2211	0111	0100
1140	2322	1222	0111	0100
1141	1333	1223	0111	0100
1142	1323	1223	0111	0100
1143	1322	1223	0111	0100
1144	3323	1223	0111	0100
1145	3322	1223	0111	0100
1146	2322	2212	0111	0100
1147	2322	2223	0111	0100
1148	3323	2223	0111	0100
1149	3322	2223	0111	0100
115	2302	1203	0111	0100
1150	0213	0111	0302	0100
1151	0213	0111	0301	0100
1152	0213	0111	0300	0100
1153	0113	0111	0300	0100
1154	0313	0111	0301	0100
1155	0313	0111	0300	0100
1156	0312	0111	0301	0100
1157	0312	0111	0300	0100
1158	3313	0111	0301	0100
1159	3313	0111	0300	0100
116	2312	1233	0111	0100
1160	3312	0111	0301	0100
1161	3312	0111	0300	0100
1162	3313	1211	0111	0100
1163	0313	0113	0111	0100
1164	0313	0133	0111	0100
1165	0312	0113	0111	0100
1166	0312	0133	0111	0100
1167	3312	0113	0111	0100
1168	3312	0133	0111	0100
1169	3313	0113	0111	0100
117	2312	1203	0111	0100
1170	3313	0133	0111	0100
1171	3313	1213	0111	0100
1172	3313	1233	0111	0100
1173	0313	0112	0111	0100
1174	0313	0123	0111	0100
1175	0313	0122	0111	0100
1176	0312	0123	0111	0100
1177	0312	0122	0111	0100
1178	3312	0123	0111	0100
1179	3312	0122	0111	0100
118	2312	1200	0111	0100
1180	3313	0123	0111	0100
1181	3313	0122	0111	0100
1182	0312	0112	0111	0100
1183	3312	0112	0111	0100
1184	3313	0112	0111	0100
1185	3313	1223	0111	0100
1186	3313	1222	0111	0100
1187	3312	1223	0111	0100
1188	3312	1222	0111	0100
1189	1312	0111	0301	0100
119	2312	1201	0111	0100
1190	1312	0111	0300	0100
1191	1312	1213	0111	0100
1192	1312	0113	0111	0100
1193	1312	0123	0111	0100
1194	1312	0133	0111	0100
1195	1312	0112	0111	0100
1196	1312	0122	0111	0100
1197	0113	0111	0201	0100
1198	0113	0111	0200	0100
1199	0313	0111	0201	0100
12	0112	0111	0103	0100
120	2312	1211	0111	0100
1200	0313	0111	0200	0100
1201	0312	0111	0201	0100
1202	0312	0111	0200	0100
1203	3313	0111	0201	0100
1204	3313	0111	0200	0100
1205	3312	0111	0201	0100
1206	3312	0111	0200	0100
1207	1312	0111	0201	0100
1208	1312	0111	0200	0100
1209	1303	0123	0111	0100
121	3312	1211	0111	0100
1210	3303	0123	0111	0100
1211	3300	0123	0111	0100
1212	3302	0123	0111	0100
1213	3302	0113	0111	0100
1214	3302	0133	0111	0100
1215	3301	0123	0111	0100
1216	3300	0113	0111	0100
1217	1233	2303	0111	0100
1218	1213	2303	0111	0100
1219	0213	0111	0103	0100
122	1312	1211	0111	0100
1220	1213	2302	0111	0100
1221	1233	2302	0111	0100
1222	1211	2303	0111	0100
1223	0113	0111	0103	0100
1224	2203	1302	0111	0100
1225	1300	0111	0302	0100
1226	1302	0111	0302	0100
1227	2301	0111	0203	0100
1228	1300	0111	0103	0100
1229	3303	0111	0302	0100
123	1323	1211	0111	0100
1230	3301	0111	0203	0100
1231	1222	2303	0111	0100
1232	2203	2301	0111	0100
1233	2203	2300	0111	0100
1234	1203	0223	0111	0100
1235	1303	0223	0111	0100
1236	1203	0111	0301	0100
1237	1203	0111	0300	0100
1238	0323	0312	0111	0100
1239	0323	0322	0111	0100
124	3323	1211	0111	0100
1240	1312	0111	0203	0100
1241	0313	0111	0203	0100
1242	0312	0111	0203	0100
1243	1202	0223	0111	0100
1244	1213	0111	0302	0100
1245	1312	0111	0302	0100
1246	1201	0111	0201	0100
1247	1201	0111	0200	0100
1248	1312	0111	0103	0100
1249	1223	2302	0111	0100
125	3323	1311	0111	0100
1250	1203	0313	0111	0100
1251	0313	0111	0103	0100
1252	1200	0223	0111	0100
1253	0313	0111	0302	0100
1254	2313	0111	0203	0100
1255	1213	1203	0111	0100
1256	0113	0111	0102	0100
1257	0213	0111	0201	0100
1258	0213	0212	0111	0100
1259	0213	0211	0111	0100
126	3323	2311	0111	0100
1260	1201	1200	0111	0100
1261	1201	2200	0111	0100
1262	1202	1301	0111	0100
1263	1303	1300	0111	0100
1264	1303	3300	0111	0100
1265	0312	0111	0103	0100
1266	2300	0111	0203	0100
1267	0213	0111	0102	0100
1268	0313	0111	0102	0100
1269	0213	0123	0111	0100
127	3323	3311	0111	0100
1270	2301	2300	0111	0100
1271	2201	2300	0111	0100
1272	1302	0223	0111	0100
1273	1300	0223	0111	0100
1274	1302	1301	0111	0100
1275	1302	1300	0111	0100
1276	1323	2303	0111	0100
1277	1213	1303	0111	0100
1278	1213	3303	0111	0100
1279	1303	0111	0200	0100
128	3323	2211	0111	0100
1280	0313	0312	0111	0100
1281	0233	0312	0111	0100
1282	1303	0111	0300	0100
1283	0313	0213	0111	0100
1284	0213	0113	0111	0100
1285	0213	0133	0111	0100
1286	0313	0212	0111	0100
1287	0222	0312	0111	0100
1288	0213	0112	0111	0100
1289	0213	0311	0111	0100
129	3323	1300	0111	0100
1290	0233	0311	0111	0100
1291	0222	0311	0111	0100
1292	2233	1311	0111	0100
1293	2233	3311	0111	0100
1294	2233	0311	0111	0100
1295	2213	1311	0111	0100
1296	2213	3311	0111	0100
1297	2213	0311	0111	0100
1298	2213	1312	0111	0100
1299	2213	0312	0111	0100
13	0111	0203	0201	0100
130	3323	1301	0111	0100
1300	2233	3312	0111	0100
1301	2233	0312	0111	0100
1302	2233	1312	0111	0100
1303	2201	0312	0111	0100
1304	2201	0322	0111	0100
1305	2201	0311	0111	0100
1306	2203	0312	0111	0100
1307	2203	0322	0111	0100
1308	2200	0312	0111	0100
1309	2200	0322	0111	0100
131	3323	1200	0111	0100
1310	2200	0311	0111	0100
1311	2203	0311	0111	0100
1312	2202	0311	0111	0100
1313	2202	0312	0111	0100
1314	2202	0322	0111	0100
1315	3312	0111	0203	0100
1316	2312	0111	0203	0100
