crn	r0	r1	r2
0	2322	0112	0100
1	0012	0002	0001
10	1233	1202	0112
100	0111	0200	0012
1000	2313	2312	0023
1001	2333	2312	0023
1002	2333	1311	0023
1003	1112	1200	0111
1004	1112	1203	0111
1005	1112	1200	0112
1006	1112	1203	0112
1007	1223	0312	0113
1008	1333	0312	0113
1009	1311	0312	0003
101	0112	0111	0022
1010	1311	0312	0113
1011	1233	1102	0112
1012	1233	1102	0111
1013	1203	1102	0111
1014	1233	0122	0112
1015	1200	0122	0111
1016	1203	0122	0111
1017	1233	0122	0111
1018	0212	0133	0123
1019	0313	0133	0123
102	0123	0111	0022
1020	0133	0033	0023
1021	1202	0003	0002
1022	1223	1211	0022
1023	1223	1213	0022
1024	0133	0201	0022
1025	0133	0203	0022
1026	2312	0003	0002
1027	1223	0003	0002
1028	0103	0003	0002
1029	0100	0003	0002
103	0123	0113	0012
1030	1113	0002	0001
1031	1103	0003	0002
1032	0302	0003	0001
1033	1312	0003	0001
1034	1112	0111	0103
1035	1112	0111	0100
1036	1113	0323	0300
1037	0213	0002	0001
1038	0233	0002	0001
1039	0211	0022	0003
104	0123	0113	0112
1040	0233	0022	0003
1041	0213	0022	0003
1042	0211	0022	0001
1043	0233	0022	0001
1044	0213	0022	0001
1045	3313	0003	0002
1046	1333	0003	0002
1047	0333	0003	0002
1048	0313	0003	0002
1049	0311	0003	0002
105	0323	0113	0012
1050	0333	0203	0002
1051	0313	0203	0002
1052	0313	0213	0002
1053	0333	0213	0002
1054	0333	0233	0002
1055	1333	1213	0022
1056	0113	0200	0022
1057	0111	0200	0022
1058	0111	0203	0022
1059	0111	0201	0022
106	0323	0111	0012
1060	0211	0133	0022
1061	0213	0133	0022
1062	0233	0133	0022
1063	0323	0212	0133
1064	2302	0123	0111
1065	2312	0123	0111
1066	0311	0123	0113
1067	0323	0033	0023
1068	0212	0302	0033
1069	0211	0302	0033
107	0322	0111	0012
1070	0213	0302	0033
1071	0233	0302	0033
1072	0333	0302	0033
1073	0333	0312	0033
1074	0333	0323	0033
1075	1100	0023	0003
1076	1100	0012	0003
1077	0133	0200	0012
1078	0233	0111	0022
1079	0233	0113	0022
108	0333	0111	0012
1080	0213	0113	0022
1081	0211	0113	0022
1082	0211	0111	0022
1083	0213	0111	0022
1084	0111	0102	0022
1085	0113	0102	0022
1086	0113	0102	0013
1087	2302	0111	0023
1088	0211	0133	0012
1089	0213	0133	0012
109	1333	0111	0012
1090	0213	0133	0023
1091	0211	0133	0023
1092	0211	0102	0022
1093	0213	0102	0022
1094	0233	0102	0022
1095	0211	0203	0002
1096	0211	0201	0002
1097	0213	0201	0002
1098	0213	0012	0002
1099	0213	0023	0002
11	1233	1223	0112
110	1333	0012	0011
1100	0211	0012	0002
1101	0211	0023	0002
1102	0233	0023	0002
1103	1102	1200	0111
1104	1123	1200	0111
1105	1123	1203	0111
1106	1123	1100	0111
1107	1123	1103	0111
1108	1133	1102	0111
1109	1133	1123	0111
111	1312	0012	0011
1110	1133	1302	0111
1111	0213	0122	0111
1112	0211	0122	0111
1113	3311	0123	0111
1114	0233	0122	0111
1115	1233	1223	0012
1116	1233	1223	0023
1117	1113	0313	0023
1118	1113	0113	0023
1119	1113	0111	0023
112	0112	0111	0023
1120	0113	0302	0022
1121	0113	0203	0022
1122	0113	0201	0022
1123	0123	0113	0022
1124	1223	1211	0012
1125	1223	1213	0012
1126	1223	1213	0023
1127	1223	1211	0023
1128	1333	1211	0023
1129	1333	1233	0023
113	0112	0111	0012
1130	0133	0203	0023
1131	1101	0033	0023
1132	1101	0033	0012
1133	1101	0113	0012
1134	0212	0123	0103
