crn	r0	r1	r2
0	2313	2312	0011	0002
1	0023	0022	0012	0011
10	0222	0313	0312	0113
100	0022	0011	0002	0001
1000	0312	0213	0212	0002
10000	0223	0312	0011	0003
10001	0323	0312	0013	0003
10002	0323	0312	0011	0003
10003	0322	0112	0111	0003
10004	0312	0112	0111	0003
10005	0322	0112	0111	0103
10006	0122	0112	0111	0103
10007	0322	0312	0113	0103
10008	0322	0123	0111	0103
10009	0322	0123	0111	0100
1001	0323	0213	0212	0002
10010	0112	0102	0300	0100
10011	0112	0102	0100	0003
10012	0113	0102	0200	0002
10013	0111	0102	0100	0002
10014	0111	0102	0300	0002
10015	1202	1200	0123	0111
10016	1223	1203	0123	0111
10017	1223	1200	0123	0111
10018	1222	1202	0123	0111
10019	1202	1201	0123	0111
1002	0223	0213	0212	0002
10020	1203	1202	0123	0111
10021	1223	1202	0123	0111
10022	1223	1201	0123	0111
10023	1223	1213	0123	0111
10024	1223	1211	0123	0111
10025	1222	1203	0112	0103
10026	1222	1200	0112	0103
10027	1222	1203	0112	0100
10028	1222	1213	0112	0100
10029	1222	1213	0112	0103
1003	0323	0233	0212	0002
10030	1222	1211	0112	0103
10031	1222	1211	0112	0100
10032	1223	1211	0112	0100
10033	1223	1211	0112	0103
10034	1223	1213	0112	0103
10035	1222	1311	0112	0103
10036	1222	1303	0112	0103
10037	1222	1300	0112	0103
10038	1222	1301	0112	0103
10039	1233	0113	0112	0103
1004	0333	0233	0223	0002
10040	1223	0133	0112	0103
10041	1223	0113	0112	0103
10042	1222	0133	0112	0103
10043	1222	0113	0112	0103
10044	1211	0113	0112	0103
10045	1213	0113	0112	0103
10046	1211	0133	0112	0103
10047	1213	0133	0112	0103
10048	1222	0133	0112	0102
10049	1222	0333	0112	0100
1005	0223	0211	0133	0002
10050	1223	0333	0112	0100
10051	1223	0133	0112	0100
10052	1211	0133	0112	0100
10053	1213	0133	0112	0100
10054	1222	0133	0112	0100
10055	1222	0113	0112	0100
10056	1223	0113	0112	0100
10057	1211	0113	0112	0100
10058	1213	0113	0112	0100
10059	2322	0113	0112	0100
1006	0223	0213	0133	0002
10060	2312	0113	0112	0100
10061	2311	0113	0112	0100
10062	2313	0113	0112	0100
10063	2333	0113	0112	0100
10064	1222	0112	0111	0100
10065	1222	0112	0111	0103
10066	2322	0112	0111	0103
10067	1223	0112	0111	0103
10068	1223	1123	0111	0103
10069	1222	1123	0111	0103
1007	0212	0211	0133	0002
10070	1222	1123	0111	0100
10071	2322	0302	0011	0002
10072	2312	0302	0011	0002
10073	0323	0233	0003	0001
10074	3313	2312	0002	0001
10075	0323	0212	0123	0113
10076	0233	0212	0002	0001
10077	0113	0112	0103	0200
10078	0111	0203	0102	0002
10079	0113	0203	0102	0002
1008	0222	0211	0113	0002
10080	0300	0033	0023	0003
10081	0312	0301	0002	0001
10082	0212	0300	0002	0001
10083	0223	0300	0002	0001
10084	0212	0013	0002	0001
10085	0212	0011	0002	0001
10086	0222	0012	0002	0001
10087	0212	0022	0002	0001
10088	2322	0022	0002	0001
10089	2312	0022	0002	0001
1009	0222	0211	0111	0002
10090	2322	0022	0012	0011
10091	2322	0022	0012	0001
10092	2322	0033	0012	0001
10093	2322	0013	0012	0001
10094	2312	0033	0012	0001
10095	2312	0013	0012	0001
10096	0222	0033	0023	0003
10097	0222	0033	0023	0001
10098	0223	0033	0023	0003
10099	0212	0033	0023	0003
101	0022	0013	0002	0001
1010	0222	0213	0111	0002
10100	0223	0033	0023	0001
10101	0212	0033	0023	0001
10102	0223	0033	0023	0002
10103	0212	0033	0023	0002
10104	0223	0033	0012	0002
10105	0223	0133	0023	0002
10106	0212	0133	0023	0002
10107	0212	0133	0012	0002
10108	0223	0133	0012	0002
10109	0322	0133	0012	0001
1011	0223	0213	0111	0002
10110	0322	0133	0012	0003
10111	0212	0133	0012	0001
10112	0223	0133	0012	0001
10113	0322	0133	0023	0003
10114	0312	0133	0023	0003
10115	0311	0133	0023	0003
10116	0322	0133	0023	0001
