crn	r0	r1	r2
0	1222	0323	0123
1	1222	0222	0123
10	1323	0123	0112
100	1223	0212	0102
101	1223	1301	0112
102	0223	0301	0102
103	0223	0302	0103
104	1200	0323	0123
105	0123	0100	0012
106	1323	0211	0123
107	1102	0123	0111
108	1200	0123	0112
109	0100	0023	0012
11	1323	0123	0002
110	0223	0211	0102
111	1101	0123	0012
112	1223	1200	0112
113	0300	0100	0023
114	1323	0211	0113
115	0211	0123	0102
116	1200	0323	0103
117	1102	0123	0001
118	1123	1102	0111
119	1311	1123	0111
12	1222	0123	0002
120	1102	0223	0111
121	0103	0300	0023
122	1123	0111	0301
123	1223	0100	0012
124	1200	0112	0023
125	1123	0211	0102
126	1301	0100	0023
127	1311	1123	0113
13	1222	0123	0112
14	1112	0323	0123
15	1323	0323	0123
16	1202	0323	0123
17	0100	0023	0002
18	1222	0212	0123
19	1323	0212	0123
2	1112	0123	0002
20	1101	0222	0123
21	1101	0323	0123
22	1202	0222	0123
23	0223	0222	0102
24	0323	0223	0102
25	0323	0203	0102
26	0323	0302	0103
27	1303	0222	0123
28	1303	0323	0123
29	1323	0222	0113
3	0222	0123	0102
30	1323	1213	0112
31	0123	0112	0100
32	0123	0111	0102
33	1101	0123	0112
34	1222	0313	0123
35	1223	1112	0112
36	1223	1112	0111
37	1123	1112	0111
38	1223	1222	0112
39	1223	1101	0112
4	1323	0222	0123
40	1323	1113	0111
41	1323	1311	0113
42	1323	0313	0123
43	1323	0313	0103
44	0223	0111	0102
45	0223	0112	0102
46	1323	0313	0113
47	1323	1312	0113
48	1303	0323	0113
49	1323	0113	0112
5	1112	0222	0123
50	1323	0113	0111
51	1222	1123	0111
52	0222	0123	0100
53	1323	0323	0113
54	1323	0123	0111
55	1101	0323	0103
56	1303	0323	0103
57	1112	0323	0103
58	1112	0123	0001
59	1222	0323	0103
6	0123	0102	0002
60	1222	0123	0111
61	1112	0123	0111
62	1223	0112	0102
63	1223	0112	0100
64	1323	0323	0103
65	0323	0123	0100
66	0323	0103	0100
67	0223	0102	0002
68	0123	0102	0001
69	0223	0102	0001
7	0323	0123	0102
70	1101	0123	0002
71	1222	0123	0001
72	1323	0123	0001
73	1323	0113	0002
74	1323	0113	0001
75	1323	1223	0112
76	1323	1123	0111
77	0222	0100	0023
78	0323	0100	0023
79	0123	0100	0002
8	0123	0112	0102
80	0323	0100	0003
81	0223	0100	0002
82	0323	0103	0102
83	0323	0103	0300
84	1312	0323	0103
85	1202	0123	0112
86	1202	0323	0103
87	0112	0100	0023
88	0212	0123	0102
89	1223	1312	0112
9	1112	0123	0112
90	1323	0212	0113
91	0223	0212	0102
92	1323	0113	0301
93	1323	0113	0302
94	1301	0323	0103
95	0223	0302	0102
96	1223	1202	0112
97	1123	0111	0102
98	1223	1312	0113
99	1202	0223	0112
