CRN	one	r0	r1	r2	r3	score	hasAM	unique
4854	0.8305934683091591	0.01078356	10.09717356	0.02400655	56.51420204	0.9997503407432092	False	True
5303	0.8305934683091591	0.02745723	0.0121148	53.75311648	17.91630757	0.9996813077855026	False	False
5269	0.8305934683091591	0.02842605	0.03232931	59.16010539	12.88262078	0.999540706622094	False	False
5022	0.8305934683091591	0.03630806	5.88089015	0.01649853	34.34676314	0.9993957885544495	False	False
6408	0.9269838728636821	0.25959726	0.10292595	99.47604868	0.19808804	0.9975746205754062	True	True
6357	0.9269838728636821	0.09124166	0.07407959	44.08742652	0.07135929	0.9963853255409316	True	False
4777	0.8817071220087662	0.79218671	0.01043001	99.14538127	0.01395186	0.9958584665126586	True	True
5234	0.8817071220087662	0.01317609	0.13279375	94.18964433	1.76922457	0.9957614929522298	True	False
5308	0.79203134910901	0.01169347	0.01396973	73.45973849	0.18657381	0.9952795530275372	False	True
5023	0.7920313492532794	0.01455416	0.28178949	0.02320084	95.1974	0.9950806232708173	False	False
4776	0.8817071220087662	0.79375776	0.01216115	75.92880608	0.04671828	0.9950153518518906	True	False
4853	0.7920313492532794	0.02151093	0.26742824	0.01188212	75.03990608	0.9939383455234556	False	False
3860	0.8289279305527084	1.47323705	0.01109609	64.11176925	0.07526279	0.993298364560622	True	True
5193	0.79203134910901	0.01144399	0.05004744	54.35619437	0.15709922	0.9919476226456893	False	False
4336	0.8289279307691128	0.01266489	0.01459808	47.95923642	1.33390273	0.9917035853694164	True	False
2798	0.8289279305527084	1.00586725	0.01321639	55.75416170000001	0.04126465	0.9914927192588712	True	False
3272	0.8289279307691128	0.01301994	0.03062058	43.74137257	0.97434354	0.990922435542676	True	False
3928	0.8029939626247448	0.03919038	0.01389081	89.24953712	3.53539833	0.9881439149715554	False	True
4920	0.7644049375227567	0.01048993	94.98024525	0.57513895	0.75587498	0.986795581996667	False	True
3230	0.8029939626247448	0.0399779	0.01001858	72.9119914	1.7670234	0.986667904206896	False	False
2590	0.8029942671776679	1.73390904	0.02872584	0.01149543	56.16264292	0.9865087564773892	False	False
2753	0.8029942671776679	3.18458539	0.06890379	0.0313538	95.39981958	0.9857153503070636	False	False
4919	0.6877615793876434	0.01010423	98.21147073	0.02216309	0.69850558	0.9854171752501688	False	True
2739	0.5613670461526874	3.06689572	0.05228925	85.76793062	0.0102917	0.9849482262172412	False	True
4891	0.7644049375227567	0.38274018	0.68873188	0.01344449	91.66355453	0.9849090192482712	False	False
4754	0.6877615806860689	0.09196372	0.71302511	0.01050009	86.42551661	0.9843743426162452	False	False
4865	0.6877615806860689	0.23696492	1.36391392	0.01095345	94.31228247	0.9840722886573284	False	False
4873	0.6877615793876434	0.01325407	91.33499255	0.02068189	1.62384734	0.9839455921165896	False	False
2704	0.7636249047026518	0.05611987	0.69828562	0.01004131	96.75001568	0.9836647635920578	False	True
5024	0.5889599042590271	0.01007528	0.80937189	41.86755168	96.28589175	0.98364890931131	False	True
2747	0.7636249047026518	0.84555542	0.01066071	18.87724531	99.64225902	0.9834590952953406	False	True
3545	0.7636249047026518	0.62390971	2.06969311	0.0101788	96.05104841	0.9833135073843888	False	True
4402	0.7636249047747865	18.819301899999996	0.01082511	98.64395492	0.73412296	0.9832818418152056	False	True
3557	0.7636249047026518	0.78233904	0.26183065	0.010838	96.89852844	0.9831653374099872	False	True
4275	0.7636249047747865	0.01060267	9.99282076	95.12639754	0.85495835	0.9830734113345634	False	True
3957	0.7636249047747865	1.09736603	0.01057163	97.13741332	0.95031272	0.9829887066691668	False	True
4131	0.7636249047747865	0.01066773	1.35941543	96.25345279999999	0.62890692	0.9828972569716452	False	False
2465	0.7636249047026518	0.14672829999999998	0.81459718	0.01006959	87.70925797	0.9827828614259028	False	True
2889	0.7636249047026518	0.64656411	0.01037016	0.1443059	89.63975926	0.9827619670900298	False	True
5553	0.5703514399072277	0.01252932	1.67064142	0.01143215	83.03140202	0.9827552037356784	False	True
3436	0.7636249047747865	1.27518533	0.01034972	93.00725367	0.93900773	0.9827428910548516	False	False
3300	0.7636249047747865	0.01034619	0.03096458	94.07129426	0.98744338	0.9826723304273663	False	True
2614	0.7636249047747865	0.01051606	77.71831185	90.44701352	0.87337659	0.9826151494979598	False	True
4059	0.7636249047747865	0.01128294	5.5083512	94.30283390000001	0.84646057	0.982579517238762	False	True
3222	0.7636249047026518	0.75048801	0.01121242	93.18589654	42.18581121	0.9825604851336476	False	True
2517	0.6469394212030832	0.0101861	96.07500255	0.53060347	0.02345463	0.9825414148692496	False	True
3307	0.7636249047747865	0.010277	1.04666154	88.68983721	0.89746875	0.9825155184932658	False	True
5309	0.5889599042590271	0.01074309	6.1604186	97.35974318	1.08972172	0.9824826466867592	False	False
4350	0.7636249047026518	0.12630147	0.51681124	0.01016157	95.54654411	0.9824630818665012	False	True
3305	0.7636249047026518	0.68673869	0.01156536	96.17364746	3.41239388	0.982429251966218	False	False
4382	0.7636249047026518	7.05928712	0.92517865	0.01178554	97.04345522	0.9823516689484862	False	True
6238	0.6733234843038324	0.01139972	61.56185592	0.79436063	97.44109172	0.9823423853501676	False	True
3544	0.7636249047026518	1.09105568	0.41138896	0.01110022	99.26861406	0.9823394234251138	False	False
2645	0.7636249047026518	0.54884111	0.06207375	0.01041517	92.46448035	0.9823313833577858	False	True
3269	0.7636249047747865	0.01084597	0.01661449	95.26573177	1.0265009	0.982320032233204	False	False
3958	0.7636249047747865	4.20486734	0.01039856	94.9028545	1.0675913000000001	0.9823141556313592	False	True
2527	0.7636249047747865	0.01112325	0.16119392	95.78137639	1.02211916	0.9822998567922699	False	False
4319	0.7636249047026518	0.76334149	5.25747038	0.01125223	90.06128736	0.9822841267997	False	False
