CRN	one	r0	r1	r2	r3	r4	score
189	0.2827674247937728	43.52768258	0.01428453	2.2834462	0.0178703	14.06635781	0.49139499294341166
504	0.3968501003319175	69.45071476	4.92403372	27.32189037	0.01286041	0.02479812	0.4913436206649134
487	0.3335212800883736	63.51366572	3.35805003	0.02356019	21.63997238	0.02194439	0.49120787633436014
183	0.27672074204363284	61.39668204	0.0179234	4.31773675	22.08273695	0.06076381	0.4911741084699635
242	0.29862859087558336	19.7789819	1.39823678	0.02004559	7.66452427	0.03232278	0.4911537925826672
781	0.36238816444017335	0.01274305	57.42534825	3.74633019	21.9154609	0.11636957	0.49109052650984764
1023	0.33401918653548807	0.01293431	54.71281663	4.7164661	21.98075756	0.02134334	0.49095629946166885
500	0.36296710439874874	85.44716191	7.33646331	0.02575212	32.93216633	0.01217944	0.4907340571236483
1160	0.24647307605289334	61.9788097	0.01513973	3.44234724	0.02689129	21.32720273	0.49062258613715803
1158	0.15408678509479015	72.54032593	0.01036622	3.94069554	0.04986907	24.37427213	0.49035510997163395
1068	0.09724177712956998	68.12908291	0.01018894	3.60010962	0.01187945	21.34568765	0.49028070052231854
990	0.2280929529602651	54.12723448	3.73669542	0.04346295	0.01707547	20.40209945	0.4901569707396615
10	0.34555198400505616	0.01034329	48.07833617	2.27860598	0.0585521	13.72338806	0.49015657666751106
15	0.1394064792587629	0.01134004	42.94572028	3.21047247	0.01699277	15.64665992	0.49004975765118014
243	0.38671522213141024	8.53827707	0.55358938	0.01856558	3.27513026	0.02848738	0.4899326799189524
193	0.111665142729822	0.0178087	65.37419631	0.01377454	3.45942045	20.35911973	0.4899166315957218
954	0.361692815366387	98.67697492	6.65629653	0.02825738	0.07229287	40.65868655	0.4898683850602991
186	0.2925795864684487	29.00887386	0.0242964	2.92084491	13.05144545	0.04803784	0.4898439105324127
240	0.24601411869301054	10.33858124	0.86389867	0.01121368	4.11661309	0.0164951	0.489832603914973
58	0.27814603803805915	60.88612054	3.82857638	0.19804454	19.8520314	0.01250774	0.4897962109226801
1150	0.202163950283689	85.89438521	6.16913811	0.01018248	0.05923589	36.43147285	0.4897698793577371
852	0.16996220413798763	41.42217547	0.01006265	2.08707312	0.0364933	13.6166345	0.48976607468237515
17	0.30146183755836364	0.15495279	99.52626306	4.86389071	0.14334096	29.48524903	0.48960545800077804
11	0.3526230576348163	0.01677742	81.08993504	3.22986577	0.13006768	22.08608179	0.48957903792649426
376	0.4220867348312006	99.80888618	4.33530017	26.78047336	0.71249799	0.07747931	0.4895023493075532
932	0.19917744112941715	88.10323408	4.91644437	0.03569479	0.17824864	29.07573058	0.4894209256913532
955	0.3624215589350933	53.98526185	2.55099264	0.01371131	0.08097621	18.65412541	0.48916067778865774
346	0.24989796966363018	66.35770407	0.03862352	5.65250338	0.01311102	30.6793066	0.4888659146333998
194	0.19225299516092503	0.0642925	64.50907404	0.03636945	3.15050202	19.69749648	0.48884212899239543
602	0.1719885684360655	82.08532035	0.01413418	0.03098337	6.51125253	30.24130902	0.4888126773830222
1149	0.09781301165393194	89.67961776	3.29016827	0.01145941	0.01039594	23.9621926	0.488790098123611
1071	0.19242247273119387	16.42778719	0.01391836	1.2867834	6.02606372	0.01714275	0.4887031377323831
241	0.3987247460586018	14.74076043	1.33309461	0.03678962	5.40235172	0.05224161	0.48862130972876316
787	0.35585485697386915	15.85198739	0.91332474	0.04332836	5.75324704	0.03256351	0.4884782300152746
1157	0.13759916735570069	55.99644926	0.01007887	6.53642574	0.01903149	25.85374936	0.4883773996260583
1173	0.34095157100557744	0.01429649	9.68613367	0.02652267	0.81363451	3.46271071	0.48832741471524616
829	0.29694224195462876	12.47190132	1.55246722	6.52172035	0.01160599	0.06017655	0.4882270597661805
188	0.2794704901540706	8.52778617	0.01807959	0.72888408	0.02833022	3.18687762	0.4880866718330992
1154	0.3266808228478641	10.47422453	0.80984977	0.01996731	0.01166182	4.5954531	0.48797750201733386
563	0.2604298421212267	32.36501312	0.0243297	2.02694733	10.17496489	0.0429466	0.487929792885814
1159	0.260148475687849	79.09632197	0.03226742	4.1616703	0.02659203	21.62354168	0.48785489385793646
497	0.3570799576073508	10.01836372	1.29184253	0.01026792	4.86139483	0.01092942	0.4876976525056569
187	0.3798261595572215	20.7459116	0.02738132	2.52540968	9.31303587	0.07655586	0.48760669664264794
1163	0.0827432128536804	68.13797139	0.02131624	0.01276092	3.04216248	19.76070207	0.4875770242287988
435	0.2809954018606235	31.21960637	2.60463543	0.03001273	11.87109133	0.26502401	0.4875263379517925
502	0.18519431500291367	24.89771817	1.19471083	0.01482189	7.60249147	0.23241768	0.48743977249833204
16	0.2390382942424315	0.07622317	23.19322019	1.74824016	0.03654379	9.92013635	0.4873204776323654
1273	0.24373433664336927	28.07098929	0.02497027	1.73238268	9.42824795	0.36936183	0.4870734179821168
59	0.2946269399595985	37.26938197	1.69945995	0.18009483	10.03405481	0.03655555	0.4870291679283616
